City,Latitude,Longitude,Population,Country,Value
Tokyo,35.6897,139.692,37977000,JP,2.25
Delhi,28.66,77.23,29617000,IN,76.16
Shanghai,31.1667,121.467,22120000,CN,43.0
Sao Paulo,-23.5504,-46.6339,22046000,BR,93.3
Mexico City,19.4333,-99.1333,20996000,MX,61.31
Cairo,30.0561,31.2394,19372000,EG,29.78
Mumbai,18.9667,72.8333,23355000,IN,50.85
Beijing,39.905,116.391,19433000,CN,60.48
Dhaka,23.7161,90.3961,15443000,BD,3.08
Osaka,34.6936,135.502,14977000,JP,55.29
New York,40.6943,-73.9249,18713220,US,97.98
Karachi,24.86,67.01,14835000,PK,74.62
Buenos Aires,-34.5997,-58.3819,16157000,AR,47.82
Chongqing,29.55,106.507,7739000,CN,69.55
Istanbul,41.01,28.9603,15154000,TR,88.63
Kolkata,22.5411,88.3378,17560000,IN,74.46
Manila,14.5958,120.977,23088000,PH,73.31
Lagos,6.45,3.4,15279000,NG,18.1
Rio De Janeiro,-22.9083,-43.1964,12272000,BR,67.31
Tianjin,39.1467,117.206,10800000,CN,38.98
San Juan,-31.5375,-68.5364,471389,AR,
Berlin,52.5167,13.3833,3644826,DE,
Rome,41.8931,12.4828,2872800,IT,
Paris,48.8566,2.3522,11020000,FR,
Tunis,36.8008,10.18,1200000,TN,
Cairo,30.0561,31.2394,19372000,EG,
Cairo,30.0561,31.2394,19372000,EG,
Berlin,52.5167,13.3833,3644826,DE,
Cairo,30.0561,31.2394,19372000,EG,
Berlin,52.5167,13.3833,3644826,DE,
Cairo,30.0561,31.2394,19372000,EG,
Berlin,52.5167,13.3833,3644826,DE,
Berlin,52.5167,13.3833,3644826,DE,
Hamburg,53.55,10.0,1841179,DE,
